# English confusion sets, mostly homophones
# Original source: After the Deadline's data/rules/homophonedb.txt
# URL: http://openatd.wordpress.com/ or https://openatd.svn.wordpress.org/atd-server/data/rules/homophonedb.txt
# License: GNU Lesser General Public License as published by the Free Software Foundation; either
#          version 2.1 of the License, or (at your option) any later version.
#
# Line format:
# <word1>|<description1>; <word2>|<description2>
#   <word1> and <word2> are words that can easily be confused
#   <description> will be used in the error message to explain the word (optional)
#   <factor> is the factor of how much more the other word must be more
#            probable so the text is considered potentially incorrect.
#            Use a higher value for better precision but lower recall.
#   Precision (p) and recall (r) values in the comments come from ConfusionRuleEvaluator
#     and are based on Wikipedia, Tatoeba, and Enron data, usually with 1000 random 
#     sentences (if that many sentence are available for that pair). The number after recall
#     is the number of sentences used for evaluation.
# Order is relevant for ambiguous cases like 'know' ('no' or 'now') where the match
# is used whose pair comes first in this file.
able; bale
abstruse|difficult to penetrate;obtuse|between 90 and 180 degrees
accede|give in, bow;exceed|surpass
accept|to agree, to endure; except|with the exception of
accessed|got, retrieved;assessed|evaluated
access|obtain, retrieve, right to enter;assess|evaluate
acclamation; acclimation
acts|third person singular of 'act';ax|tool to split wood
ad|advertising;add|make an addition
adapting|making fit;adopting|follow, take over
addition|adding one thing to another;edition|version, variant
additions|adding one thing to another; editions|versions, variants
adds|makes an addition;ads|advertisements
adolescence; adolescents
adverse|harmful; averse|strongly disliking
advice|noun; advise|verb
affect|experience of emotion; effect|outcome, result
affects|experiences of emotion;effects|outcomes, results
affluence|richness;effluence|outflow
#aids|helps, gives assistance;aides|plural of 'aide' = assistant
aisle|long narrow passage;isle|small island
aisles|long narrow passages; isles|small islands
alliterate|exhibit alliteration;illiterate|person unable to read
allowed|permitted; aloud|using the voice
allude|make a disguised reference to;elude|escape
alludes|makes a disguised reference to; eludes|escapes
allusion|passing reference; illusion|an erroneous mental representation
allusions|passing references;illusions|erroneous mental representations
altar|e.g. table for religious purposes;alter|modify
altars|e.g. tables for religious purposes; alters|modifies
alumni|plural; alumnus|singular
and; end
anecdote|short story;antidote|substance which can counteract poisoning
anti|against;auntie|aunt
apatite|a common complex mineral; appetite|a feeling of craving
appendices|plural; appendix|singular
appraise|evaluate, value;apprise|advise, notify
arrant|complete, thorough;errant|straying from the right course
artesian|rising to surface under pressure;artisanal|made by an artisan
as; at
ascent|rise, climb;assent|agreement
aspect|a distinct feature;respect|an attitude of admiration
aspects|distinct features; respects|third person singular of 'respect'
ate|past of 'to eat'; eight|the number '8'
aural|relating to the ears; oral|relating to the mouth
Australia|the continent; Austria|country in Europe
avid; avoid
aw; awe
awe; oar
axes|plural; axis|singular
bacteria|plural; bacterium|singular
bade; bayed
bad|opposite of 'good'; bed|place to sleep
bail|release after a security has been paid;bale|a large bundle
baize|coarse woollen/cotton cloth;bays|indentations of the shoreline
balled|formed into a ball;bawled|shouted loudly
ballet|concert dance;ballot|vote
ballets|concert dances; ballots|votes
ballot|vote;bullet|projectile fired from a gun
bard|a lyric poet;barred|prevented from entering
barely|hardly, just;barley|cereal grain
bare|naked;bear|animal
baron|a nobleman;barren|bare, bleak
basal|elementary;basil|culinary herb
based; baste
base|foundation, groundwork;bass|lowest part of the musical range
baud|data transmission rate;bawd|prostitute
bawdily; bodily
bazaar|a market; bizarre|very strange
bean|large plant seed; been
beau|dandy;bow|bend one's knee or body
beaus|boyfriends; bows|bend one's knee or body
be; bee|insects
bedding|bed clothing; betting|stake on the outcome of an issue
been; bin|container
begin|start; being|living thing
belief|noun;believe|verb
beliefs|plural noun; believes|third person singular verb
bellow|very loud utterance; below|beneath, at a lower place
benefactor|person who helps people;beneficiary|recipient of benefits
berth|tie up;birth|act of bringing forth offsprings
berths|ties up; births|plural of 'birth'
besot|make dull;besought|pressed, conjured
best; bets
be; we
bib; bibb
bidder; bitter
bidders; bitters
bights; bites
billed|being charged;build|construct, make
bit; but
bite|a mouthful;byte|sequence of 8 bits
bites; bytes
blew|past of 'blow';blue|color
bloc|a group of countries;block|city block, a solid piece of something
blocks|city blocks, solid pieces; blocs|groups of countries
blunt|not sharp, frank;brunt|main force of a blow
board|a committee;bored|tired
boated; boded
boating; boding
bode|stayed;bowed|bended one's knee or body
bond|a type of debt security;bound|edge, boundary
bonds|a type of debt security;bounds|edges, boundaries
bootees; booties
borrow|get temporarily; lend|give temporarily
borrows|get temporarily; lends|give temporarily
bough|branch of a tree; bow|bend one's knee or body
bounce|spring back;bounds|lines determining the limits of an area
braid|a hairdo;brayed|past of 'bray'
braise; braze
braise|cook in liquid;brays|cries of a donkey
brake|mechanical device to stop motion|interruption;break
brakes|mechanical device to stop motion;breaks|interruptions
breach|failure to perform some promised act; breech|rear of barrel
breaches|failure to perform some promised act; breeches|rear of barrel
bread|food made from dough;bred|past of 'breed'
breath|noun; breathe|verb
breathes|verb; breaths|plural noun
brewed|past of 'brew';brood|the young of an animal
brews|drinks;bruise|injury
bridal|of or relating to a wedding;bridle|headgear for a horse
brows|eyebrows;browse|shop around, surf
bruit; brute
bused|sent around by bus; bust|female chest
bussed|sent around by bus;bust|female chest
but; butt
but; nut
buy|purchase; bye|goodbye
by; my
cached|stored for future use;cashed|exchanged for cash
caller|person starting a phone call;collar|part of clothing
callers|person starting a phone call; collars|part of clothing
capital|money or property, seat of government;capitol|building
